央视频道,#genre#
CCTV1,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv1
CCTV2,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv2
CCTV3,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv3
CCTV4,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv4
CCTV5,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5
CCTV6,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv6
CCTV7,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv7
CCTV8,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv8
CCTV9,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv9
CCTV10,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv10
CCTV11,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv11
CCTV12,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv12
CCTV13,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv13
CCTV14,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv14
CCTV15,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv15
CCTV16,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv16
CCTV17,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv17
CCTV5+,http://cdn6.bkpcp.top/tl/tuiliu.php?id=cctv5p
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV1,http://36.135.118.195:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$吉林移动
CCTV2,http://36.135.118.195:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://36.135.118.195:85/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://36.135.118.195:85/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://36.135.118.195:85/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://36.135.118.195:85/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://36.135.118.195:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://36.135.118.195:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://36.135.118.195:85/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://36.135.118.195:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://36.135.118.195:85/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://36.135.118.195:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://36.135.118.195:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://36.135.118.195:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://36.135.118.195:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV16,http://36.135.118.195:85/tsfile/live/0016_2.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://36.135.118.195:85/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://36.135.118.195:85/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225673/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225723/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221225770/index.m3u8
CCTV1,https://zby.130519.xyz/PLTV/11/224/3221226163/index.m3u8
CCTV2,https://zby.130519.xyz/PLTV/11/224/3221226122/index.m3u8
CCTV3,https://zby.130519.xyz/PLTV/11/224/3221225766/index.m3u8
